name;hex;rgb;luma
aliceblue;#F0F8FF;240,248,255;96.78611765%
antiquewhite;#FAEBD7;250,235,215;92.84117647%
aqua;#00FFFF;0,255,255;78.74%
aquamarine;#7FFFD4;127,255,212;88.11082353%
azure;#F0FFFF;240,255,255;98.74941176%
beige;#F5F5DC;245,245,220;95.37058824%
bisque;#FFE4C4;255,228,196;90.75678431%
black;#000000;0,0,0;0%
blanchedalmond;#FFEBCD;255,235,205;92.97490196%
blue;#0000FF;0,0,255;7.22%
blueviolet;#8A2BE2;138,43,226;29.96454902%
brown;#A52A2A;165,42,42;26.72541176%
burlywood;#DEB887;222,184,135;73.93764706%
cadetblue;#5F9EA0;95,158,160;56.76494118%
chartreuse;#7FFF00;127,255,0;82.10831373%
chocolate;#D2691E;210,105,30;47.80705882%
coral;#FF7F50;255,127,80;59.14486275%
cornflowerblue;#6495ED;100,149,237;56.83772549%
cornsilk;#FFF8DC;255,248,220;97.04572549%
crimson;#DC143C;220,20,60;25.65019608%
cyan;#00FFFF;0,255,255;78.74%
darkblue;#00008B;0,0,139;3.93560784%
darkcyan;#008B8B;0,139,139;42.92101961%
darkgoldenrod;#B8860B;184,134,11;53.23505882%
darkgray;#A9A9A9;169,169,169;66.2745098%
darkgreen;#006400;0,100,0;28.04705882%
darkgrey;#A9A9A9;169,169,169;66.2745098%
darkkhaki;#BDB76B;189,183,107;70.11309804%
darkmagenta;#8B008B;139,0,139;15.52439216%
darkolivegreen;#556B2F;85,107,47;38.42776471%
darkorange;#FF8C00;255,140,0;60.52588235%
darkorchid;#9932CC;153,50,204;32.55552941%
darkred;#8B0000;139,0,0;11.58878431%
darksalmon;#E9967A;233,150,122;64.95066667%
darkseagreen;#8FBC8F;143,188,143;68.69960784%
darkslateblue;#483D8B;72,61,139;27.04713725%
darkslategray;#2F4F4F;47,79,79;28.31247059%
darkslategrey;#2F4F4F;47,79,79;28.31247059%
darkturquoise;#00CED1;0,206,209;63.6945098%
darkviolet;#9400D3;148,0,211;18.31333333%
deeppink;#FF1493;255,20,147;31.03152941%
deepskyblue;#00BFFF;0,191,255;60.78988235%
dimgray;#696969;105,105,105;41.17647059%
dimgrey;#696969;105,105,105;41.17647059%
dodgerblue;#1E90FF;30,144,255;50.10894118%
firebrick;#B22222;178,34,34;25.33898039%
floralwhite;#FFFAF0;255,250,240;98.17294118%
forestgreen;#228B22;34,139,34;42.7827451%
fuchsia;#FF00FF;255,0,255;28.48%
gainsboro;#DCDCDC;220,220,220;86.2745098%
ghostwhite;#F8F8FF;248,248,255;97.45309804%
gold;#FFD700;255,215,0;81.56117647%
goldenrod;#DAA520;218,165,32;65.35890196%
gray;#808080;128,128,128;50.19607843%
green;#008000;0,128,0;35.90023529%
greenyellow;#ADFF2F;173,255,47;87.27419608%
grey;#808080;128,128,128;50.19607843%
honeydew;#F0FFF0;240,255,240;98.32470588%
hotpink;#FF69B4;255,105,180;55.80588235%
indianred;#CD5C5C;205,92,92;45.49952941%
indigo;#4B0082;75,0,130;9.93372549%
ivory;#FFFFF0;255,255,240;99.57529412%
khaki;#F0E68C;240,230,140;88.48156863%
lavender;#E6E6FA;230,230,250;90.76235294%
lavenderblush;#FFF0F5;255,240,245;95.50980392%
lawngreen;#7CFC00;124,252,0;81.01678431%
lemonchiffon;#FFFACD;255,250,205;97.18196078%
lightblue;#ADD8E6;173,216,230;81.5172549%
lightcoral;#F08080;240,128,128;59.53380392%
lightcyan;#E0FFFF;224,255,255;97.41545098%
lightgoldenrodyellow;#FAFAD2;250,250,210;96.90666667%
lightgray;#D3D3D3;211,211,211;82.74509804%
lightgreen;#90EE90;144,238,144;82.83482353%
lightgrey;#D3D3D3;211,211,211;82.74509804%
lightpink;#FFB6C1;255,182,193;77.77019608%
lightsalmon;#FFA07A;255,160,122;69.58956863%
lightseagreen;#20B2AA;32,178,170;57.40501961%
lightskyblue;#87CEFA;135,206,250;76.11066667%
lightslategray;#778899;119,136,153;52.39733333%
lightslategrey;#778899;119,136,153;52.39733333%
lightsteelblue;#B0C4DE;176,196,222;75.93145098%
lightyellow;#FFFFE0;255,255,224;99.12227451%
lime;#00FF00;0,255,0;71.52%
limegreen;#32CD32;50,205,50;63.08078431%
linen;#FAF0E6;250,240,230;94.66823529%
magenta;#FF00FF;255,0,255;28.48%
maroon;#800000;128,0,0;10.67168627%
mediumaquamarine;#66CDAA;102,205,170;70.81380392%
mediumblue;#0000CD;0,0,205;5.80431373%
mediumorchid;#BA55D3;186,85,211;45.3214902%
mediumpurple;#9370DB;147,112,219;49.78423529%
mediumseagreen;#3CB371;60,179,113;58.40603922%
mediumslateblue;#7B68EE;123,104,238;46.16243137%
mediumspringgreen;#00FA9A;0,250,154;74.47796078%
mediumturquoise;#48D1CC;72,209,204;70.39717647%
mediumvioletred;#C71585;199,21,133;26.2467451%
midnightblue;#191970;25,25,112;12.26721569%
mintcream;#F5FFFA;245,255,250;99.02470588%
mistyrose;#FFE4E1;255,228,225;91.57788235%
moccasin;#FFE4B5;255,228,181;90.33207843%
navajowhite;#FFDEAD;255,222,173;88.4227451%
navy;#000080;0,0,128;3.62415686%
oldlace;#FDF5E6;253,245,230;96.32070588%
olive;#808000;128,128,0;46.57192157%
olivedrab;#6B8E23;107,142,35;49.73866667%
orange;#FFA500;255,165,0;67.53764706%
orangered;#FF4500;255,69,0;40.61247059%
orchid;#DA70D6;218,112,214;55.64705882%
palegoldenrod;#EEE8AA;238,232,170;89.72517647%
palegreen;#98FB98;152,251,152;87.37443137%
paleturquoise;#AFEEEE;175,238,238;88.08086275%
palevioletred;#DB7093;219,112,147;53.58329412%
papayawhip;#FFEFD5;255,239,213;94.32329412%
peachpuff;#FFDAB9;255,218,185;87.64062745%
peru;#CD853F;205,133,63;56.17772549%
pink;#FFC0CB;255,192,203;80.85803922%
plum;#DDA0DD;221,160,221;69.55796078%
powderblue;#B0E0E6;176,224,230;84.01113725%
purple;#800080;128,0,128;14.29584314%
red;#FF0000;255,0,0;21.26%
rosybrown;#BC8F8F;188,143,143;59.83019608%
royalblue;#4169E1;65,105,225;41.23921569%
saddlebrown;#8B4513;139,69,19;31.47921569%
salmon;#FA8072;250,128,114;59.97113725%
sandybrown;#F4A460;244,164,96;69.05819608%
seagreen;#2E8B57;46,139,87;45.28384314%
seashell;#FFF5EE;255,245,238;96.71396078%
sienna;#A0522D;160,82,45;37.61231373%
silver;#C0C0C0;192,192,192;75.29411765%
skyblue;#87CEEB;135,206,235;75.68596078%
slateblue;#6A5ACD;106,90,205;39.88415686%
slategray;#708090;112,128,144;49.31513725%
slategrey;#708090;112,128,144;49.31513725%
snow;#FFFAFA;255,250,250;98.45607843%
springgreen;#00FF7F;0,255,127;75.11584314%
steelblue;#4682B4;70,130,180;47.39372549%
tan;#D2B48C;210,180,140;71.95686275%
teal;#008080;0,128,128;39.52439216%
thistle;#D8BFD8;216,191,216;77.69411765%
tomato;#FF6347;255,99,71;51.03686275%
turquoise;#40E0D0;64,224,208;74.0505098%
violet;#EE82EE;238,130,238;63.0425098%
wheat;#F5DEB3;245,222,179;87.75890196%
white;#FFFFFF;255,255,255;100%
whitesmoke;#F5F5F5;245,245,245;96.07843137%
yellow;#FFFF00;255,255,0;92.78%
yellowgreen;#9ACD32;154,205,50;71.75152941%
